,brand,processor,screen_size,ROM,RAM,display_size,num_rear_camera,num_front_camera,battery_capacity,ratings,sales_price
246,2,4,0,0.1111111111111111,3,6.5,3,1,0.625,4.3,8499
247,2,2,0,0.5555555555555556,4,6.5,4,1,0.625,4.5,11999
248,2,2,0,0.5555555555555556,4,6.5,4,1,0.625,4.5,11999
249,2,4,0,0.25925925925925924,4,6.5,3,1,0.625,4.4,9499
250,3,2,1,0.25925925925925924,4,6.4,4,1,0.875,4.3,12999
251,3,2,1,0.25925925925925924,4,6.4,4,1,0.875,4.3,12999
252,3,2,1,0.5555555555555556,6,6.4,4,1,0.875,4.3,14999
253,3,2,1,0.5555555555555556,6,6.4,4,1,0.875,4.3,14999
254,3,1,0,0.25925925925925924,4,6.5,4,1,0.875,4.2,11499
255,3,1,0,0.25925925925925924,4,6.5,4,1,0.875,4.2,11499
256,3,4,0,0.1111111111111111,3,6.5,3,1,0.625,4.2,9569
257,3,2,0,0.1111111111111111,2,6.5,2,1,0.625,4.149999999999999,8278
258,3,2,1,0.5555555555555556,6,6.4,4,1,0.625,4.3,18499
259,3,1,0,0.5555555555555556,4,6.5,4,1,0.875,4.2,12499
260,3,1,0,0.25925925925925924,4,6.5,4,1,0.875,4.2,11499
261,3,1,0,0.5555555555555556,4,6.5,4,1,0.875,4.2,12499
262,3,4,0,0.5555555555555556,8,6.5,4,1,0.5,4.5,37499
263,3,2,1,0.25925925925925924,4,6.4,4,1,0.875,4.2,14750
264,3,1,0,0.5555555555555556,4,6.5,4,1,0.875,4.2,12499
265,3,4,0,1.0,8,6.7,2,1,0.20000000000000007,4.3,54499
266,3,2,0,0.1111111111111111,2,6.5,2,1,0.625,4.149999999999999,8238
267,3,2,0,0.5555555555555556,8,6.6,3,1,0.625,4.2,21999
268,3,1,0,0.5555555555555556,6,6.5,4,1,0.625,4.2,17499
269,3,2,0,0.25925925925925924,4,6.5,3,1,0.625,4.2,12499
270,3,3,1,0.5555555555555556,6,6.4,4,1,0.875,4.3,17599
271,3,3,1,0.5555555555555556,8,6.4,4,1,0.875,4.3,18666
272,3,1,0,0.5555555555555556,8,6.5,4,1,0.375,4.3,22499
273,3,4,0,0.5555555555555556,8,6.7,4,1,0.625,4.3,34225
274,3,1,0,0.5555555555555556,8,6.5,4,1,0.375,4.3,22499
275,3,1,0,0.5555555555555556,6,6.5,4,1,0.625,4.2,17499
276,3,2,0,0.25925925925925924,4,6.5,4,1,0.625,4.2,12176
277,3,4,0,0.5555555555555556,8,6.7,2,1,0.20000000000000007,4.3,54499
278,3,1,0,0.5555555555555556,6,6.7,4,1,1.0,4.2,23999
279,3,2,0,0.5555555555555556,6,6.6,3,1,0.625,4.3,20288
280,3,2,1,0.5555555555555556,6,6.4,4,1,0.625,4.3,16999
281,3,4,0,0.5555555555555556,6,6.5,4,1,0.5,4.3,27499
282,3,1,0,0.5555555555555556,6,6.5,4,1,0.625,4.2,17499
283,3,1,0,0.5555555555555556,6,6.5,4,1,0.625,4.149999999999999,16499
284,3,1,0,0.5555555555555556,6,6.7,4,1,1.0,4.2,23999
285,3,2,0,0.1111111111111111,3,6.5,3,1,0.625,4.149999999999999,11499
286,3,4,0,0.25925925925925924,4,6.5,3,1,0.625,4.2,10499
287,3,1,0,0.5555555555555556,6,6.7,4,1,1.0,4.2,23999
288,3,4,0,0.5555555555555556,8,6.5,4,1,0.5,4.5,37499
289,3,4,0,0.25925925925925924,4,6.5,3,1,0.625,4.2,10499
290,3,4,1,0.25925925925925924,4,6.4,3,1,0.625,4.3,10986
291,3,1,1,0.25925925925925924,6,6.4,3,1,0.875,4.3,15999
292,3,4,0,0.5555555555555556,8,6.7,2,1,0.20000000000000007,4.3,54499
293,3,2,0,0.25925925925925924,4,6.5,4,1,0.625,4.2,12390
294,3,1,0,0.5555555555555556,6,6.5,4,1,0.625,4.149999999999999,16499
295,3,2,0,0.5555555555555556,6,6.6,3,1,0.625,4.3,20696
296,3,1,0,0.25925925925925924,4,6.5,4,1,0.625,4.2,14999
297,3,2,1,0.5555555555555556,6,6.4,4,1,0.625,4.3,22990
298,3,1,0,0.5555555555555556,6,6.5,4,1,0.375,4.3,20999
299,3,4,0,0.5555555555555556,8,6.7,4,1,0.5,4.4,27499
300,3,4,0,1.0,8,6.7,2,1,0.20000000000000007,4.3,54499
301,3,1,0,1.0,8,6.7,3,1,0.44999999999999996,4.3,54499
302,3,1,0,0.25925925925925924,4,6.5,4,1,0.625,4.2,14999
303,3,4,3,1.0,9,6.800000000000001,3,1,0.4750000000000001,4.4,54499
304,3,4,2,0.1111111111111111,3,6.0,2,1,0.375,4.2,9299
305,3,4,0,0.1111111111111111,3,6.5,3,1,0.625,4.2,9499
306,3,1,0,1.0,8,6.7,3,1,0.44999999999999996,4.3,54499
